step,wall_time,correct_move_selection_rate,correct_piece_selection_rate,perfect_move_rate
57344,1745174650.141756,0.0,,
57344,1745174650.1417725,,1.0,
57344,1745174650.141788,,,0.0
57856,1745174666.314743,1.0,,
57856,1745174666.314759,,1.0,
57856,1745174666.3147748,,,1.0
58880,1745174698.672301,0.0,,
58880,1745174698.6723163,,1.0,
58880,1745174698.6723318,,,0.0
59392,1745174715.7118518,0.0,,
59392,1745174715.7118676,,0.0,
59392,1745174715.711884,,,0.0
59904,1745174732.1524918,0.0,,
59904,1745174732.1525211,,0.0,
59904,1745174732.152541,,,0.0
60416,1745174750.287657,0.0,,
60416,1745174750.2876728,,1.0,
60416,1745174750.287689,,,0.0
60928,1745174768.6616192,0.0,,
60928,1745174768.6616344,,1.0,
60928,1745174768.66165,,,0.0
61440,1745174786.4337065,0.0,,
61440,1745174786.433723,,1.0,
61440,1745174786.4337392,,,0.0
62464,1745174822.1124918,0.0,,
62464,1745174822.1125083,,0.0,
62464,1745174822.1125245,,,0.0
62976,1745174840.9239633,0.0,,
62976,1745174840.9239793,,1.0,
62976,1745174840.9239955,,,0.0
64000,1745174880.1032557,0.0,,
64000,1745174880.103273,,1.0,
64000,1745174880.1032891,,,0.0
65024,1745174914.3449564,0.0,,
65024,1745174914.3449726,,1.0,
65024,1745174914.344988,,,0.0
65536,1745174931.0606434,0.0,,
65536,1745174931.0606596,,1.0,
65536,1745174931.0606763,,,0.0
66048,1745174949.4105577,0.0,,
66048,1745174949.4105744,,0.0,
66048,1745174949.4105904,,,0.0
66560,1745174966.5613434,0.0,,
66560,1745174966.5613637,,0.0,
66560,1745174966.561383,,,0.0
67584,1745175003.2107635,0.0,,
67584,1745175003.2107873,,1.0,
67584,1745175003.2108092,,,0.0
68096,1745175022.19946,0.0,,
68096,1745175022.1994762,,1.0,
68096,1745175022.1994915,,,0.0
68608,1745175040.05373,0.0,,
68608,1745175040.0537465,,1.0,
68608,1745175040.0537615,,,0.0
69120,1745175058.4169502,0.0,,
69120,1745175058.416966,,0.0,
69120,1745175058.4169812,,,0.0
69632,1745175077.4353073,0.0,,
69632,1745175077.4353237,,1.0,
69632,1745175077.4353395,,,0.0
70144,1745175096.8920608,0.0,,
70144,1745175096.8920772,,1.0,
70144,1745175096.8920934,,,0.0
70656,1745175115.5014536,0.0,,
70656,1745175115.5014694,,1.0,
70656,1745175115.5014846,,,0.0
71680,1745175149.5894775,0.0,,
71680,1745175149.5894952,,1.0,
71680,1745175149.5895123,,,0.0
72192,1745175166.9920926,0.0,,
72192,1745175166.9921079,,1.0,
72192,1745175166.9921246,,,0.0
72704,1745175185.1946747,0.0,,
72704,1745175185.1946905,,1.0,
72704,1745175185.1947064,,,0.0
73216,1745175202.677801,0.0,,
73216,1745175202.677817,,1.0,
73216,1745175202.6778347,,,0.0
73728,1745175220.130112,0.0,,
73728,1745175220.1301281,,0.0,
73728,1745175220.130144,,,0.0
74752,1745175255.6928968,0.0,,
74752,1745175255.6929119,,1.0,
74752,1745175255.6929278,,,0.0
75264,1745175273.8099155,0.0,,
75264,1745175273.8099358,,1.0,
75264,1745175273.8099542,,,0.0
75776,1745175291.196686,0.0,,
75776,1745175291.1967032,,0.0,
75776,1745175291.1967204,,,0.0
76288,1745175308.4704661,0.0,,
76288,1745175308.4704816,,1.0,
76288,1745175308.4704978,,,0.0
76800,1745175326.9487042,0.0,,
76800,1745175326.9487207,,1.0,
76800,1745175326.948737,,,0.0
77312,1745175346.601518,0.0,,
77312,1745175346.6015334,,0.0,
77312,1745175346.6015491,,,0.0
77824,1745175365.1680024,0.0,,
77824,1745175365.1680179,,1.0,
77824,1745175365.1680336,,,0.0
78336,1745175381.6962972,0.0,,
78336,1745175381.6963134,,1.0,
78336,1745175381.6963289,,,0.0
78848,1745175399.5883179,0.0,,
78848,1745175399.5883691,,1.0,
78848,1745175399.5883994,,,0.0
79360,1745175419.5324328,0.0,,
79360,1745175419.5324488,,1.0,
79360,1745175419.5325058,,,0.0
79872,1745175438.8594425,0.0,,
79872,1745175438.8594592,,1.0,
79872,1745175438.8594754,,,0.0
80384,1745175455.2579298,0.0,,
80384,1745175455.2579458,,1.0,
80384,1745175455.257962,,,0.0
81408,1745175488.6970644,0.0,,
81408,1745175488.69708,,0.0,
81408,1745175488.6970954,,,0.0
81920,1745175506.3528833,0.0,,
81920,1745175506.3529005,,1.0,
81920,1745175506.3529162,,,0.0
82944,1745175541.9124117,0.0,,
82944,1745175541.912429,,1.0,
82944,1745175541.9124446,,,0.0
83456,1745175558.842755,0.0,,
83456,1745175558.842793,,1.0,
83456,1745175558.8428164,,,0.0
84480,1745175592.0409646,0.0,,
84480,1745175592.0409803,,0.0,
84480,1745175592.0409968,,,0.0
84992,1745175608.6583629,0.0,,
84992,1745175608.6583786,,0.0,
84992,1745175608.658394,,,0.0
85504,1745175624.6571786,0.0,,
85504,1745175624.6571937,,0.0,
85504,1745175624.6572096,,,0.0
86528,1745175657.9053543,0.0,,
86528,1745175657.9053698,,0.0,
86528,1745175657.905409,,,0.0
87040,1745175674.2373834,1.0,,
87040,1745175674.2373993,,1.0,
87040,1745175674.2374153,,,1.0
87552,1745175690.1277945,0.0,,
87552,1745175690.12781,,0.0,
87552,1745175690.1278257,,,0.0
88064,1745175706.3196757,0.0,,
88064,1745175706.3196914,,1.0,
88064,1745175706.319707,,,0.0
88576,1745175725.2454636,0.0,,
88576,1745175725.2454853,,1.0,
88576,1745175725.2455082,,,0.0
91136,1745175813.2978663,0.0,,
91136,1745175813.297882,,0.0,
91136,1745175813.2978976,,,0.0
92160,1745175846.1920922,0.0,,
92160,1745175846.192107,,0.0,
92160,1745175846.1921227,,,0.0
93696,1745175895.9501324,0.0,,
93696,1745175895.9501493,,0.0,
93696,1745175895.9501655,,,0.0
94720,1745175929.9581125,0.0,,
94720,1745175929.9581287,,1.0,
94720,1745175929.9581442,,,0.0
95232,1745175947.1298006,0.0,,
95232,1745175947.129816,,0.0,
95232,1745175947.1298313,,,0.0
95744,1745175964.273057,0.0,,
95744,1745175964.273073,,1.0,
95744,1745175964.2730887,,,0.0
96256,1745175982.2088242,0.0,,
96256,1745175982.20884,,1.0,
96256,1745175982.208856,,,0.0
97280,1745176019.013786,0.0,,
97280,1745176019.0138018,,1.0,
97280,1745176019.0138175,,,0.0
97792,1745176036.048432,0.0,,
97792,1745176036.048449,,0.0,
97792,1745176036.048465,,,0.0
98304,1745176053.9971974,0.0,,
98304,1745176053.9972138,,0.0,
98304,1745176053.9972296,,,0.0
99328,1745176087.1887033,0.0,,
99328,1745176087.1887217,,1.0,
99328,1745176087.18874,,,0.0
99840,1745176104.1161287,0.0,,
99840,1745176104.1161857,,1.0,
99840,1745176104.1162186,,,0.0
100352,1745176120.6478503,0.0,,
100352,1745176120.6478648,,0.0,
100352,1745176120.6478815,,,0.0
100864,1745176136.6051273,0.0,,
100864,1745176136.6051433,,0.0,
100864,1745176136.605158,,,0.0
101376,1745176152.8977506,0.0,,
101376,1745176152.8977668,,0.0,
101376,1745176152.8977828,,,0.0
103424,1745176221.5555584,0.0,,
103424,1745176221.5555735,,0.0,
103424,1745176221.555589,,,0.0
104448,1745176256.0845685,0.0,,
104448,1745176256.0845845,,1.0,
104448,1745176256.0845997,,,0.0
105984,1745176308.6780365,1.0,,
105984,1745176308.6780531,,1.0,
105984,1745176308.6780698,,,1.0
108032,1745176384.683928,0.0,,
108032,1745176384.683944,,1.0,
108032,1745176384.683961,,,0.0
108544,1745176402.0929441,0.0,,
108544,1745176402.0929604,,0.0,
108544,1745176402.0929766,,,0.0
109056,1745176420.9387636,0.0,,
109056,1745176420.93878,,0.0,
109056,1745176420.938797,,,0.0
110080,1745176462.6590858,0.0,,
110080,1745176462.6591032,,0.0,
110080,1745176462.6591194,,,0.0
110592,1745176483.2218747,0.0,,
110592,1745176483.2218912,,0.0,
110592,1745176483.2219067,,,0.0
111104,1745176502.861393,0.0,,
111104,1745176502.8614085,,1.0,
111104,1745176502.8614242,,,0.0
112128,1745176543.876699,0.0,,
112128,1745176543.8767152,,0.0,
112128,1745176543.8767307,,,0.0
112640,1745176563.628182,0.0,,
112640,1745176563.6281981,,0.0,
112640,1745176563.6282136,,,0.0
113664,1745176605.2432857,1.0,,
113664,1745176605.2433016,,1.0,
113664,1745176605.2433176,,,1.0
115712,1745176678.64508,0.0,,
115712,1745176678.645097,,0.0,
115712,1745176678.6451128,,,0.0
116224,1745176695.9260108,0.0,,
116224,1745176695.926028,,0.0,
116224,1745176695.9260442,,,0.0
117248,1745176730.3380814,0.0,,
117248,1745176730.3380976,,0.0,
117248,1745176730.3381135,,,0.0
117760,1745176747.3730786,0.0,,
117760,1745176747.3730946,,0.0,
117760,1745176747.3731103,,,0.0
118272,1745176764.0247543,0.0,,
118272,1745176764.0247695,,1.0,
118272,1745176764.0247858,,,0.0
118784,1745176780.741481,0.0,,
118784,1745176780.741496,,1.0,
118784,1745176780.7415113,,,0.0
119296,1745176797.633232,1.0,,
119296,1745176797.6332695,,1.0,
119296,1745176797.633289,,,1.0
119808,1745176814.524774,0.0,,
119808,1745176814.5247905,,1.0,
119808,1745176814.5248063,,,0.0
120320,1745176831.4725409,0.0,,
120320,1745176831.472557,,1.0,
120320,1745176831.4725723,,,0.0
120832,1745176848.6842275,0.0,,
120832,1745176848.6842825,,0.0,
120832,1745176848.6843073,,,0.0
121856,1745176884.1713915,0.0,,
121856,1745176884.1714063,,1.0,
121856,1745176884.1714218,,,0.0
122368,1745176901.750413,0.0,,
122368,1745176901.7504294,,1.0,
122368,1745176901.750446,,,0.0
122880,1745176918.6948702,0.0,,
122880,1745176918.6948862,,0.0,
122880,1745176918.694902,,,0.0
123392,1745176936.0344043,0.0,,
123392,1745176936.0344205,,0.0,
123392,1745176936.0344367,,,0.0
123904,1745176953.5749936,0.0,,
123904,1745176953.5750098,,0.0,
123904,1745176953.5750256,,,0.0
124416,1745176970.9084964,0.0,,
124416,1745176970.9085114,,1.0,
124416,1745176970.908527,,,0.0
127488,1745177074.0789506,0.0,,
127488,1745177074.0789673,,0.0,
127488,1745177074.0789838,,,0.0
128000,1745177090.8474295,0.0,,
128000,1745177090.847445,,0.0,
128000,1745177090.8474603,,,0.0
128512,1745177107.786634,0.0,,
128512,1745177107.78665,,0.0,
128512,1745177107.786666,,,0.0
129024,1745177124.526165,0.0,,
129024,1745177124.52618,,1.0,
129024,1745177124.5261955,,,0.0
129536,1745177141.0306704,0.0,,
129536,1745177141.0306852,,0.0,
129536,1745177141.0306997,,,0.0
130560,1745177174.4247253,0.0,,
130560,1745177174.424741,,1.0,
130560,1745177174.4247572,,,0.0
131072,1745177191.908656,0.0,,
131072,1745177191.908673,,0.0,
131072,1745177191.9086888,,,0.0
131584,1745177209.0891016,0.0,,
131584,1745177209.0891175,,0.0,
131584,1745177209.0891328,,,0.0
132096,1745177226.4345949,0.0,,
132096,1745177226.4346118,,1.0,
132096,1745177226.4346292,,,0.0
132608,1745177243.0112789,0.0,,
132608,1745177243.011295,,1.0,
132608,1745177243.0113108,,,0.0
133120,1745177259.8351097,0.0,,
133120,1745177259.835126,,1.0,
133120,1745177259.835142,,,0.0
134656,1745177310.4501884,0.0,,
134656,1745177310.4502041,,1.0,
134656,1745177310.4502199,,,0.0
136192,1745177360.9339771,0.0,,
136192,1745177360.933993,,0.0,
136192,1745177360.9340088,,,0.0
136704,1745177377.8407068,0.0,,
136704,1745177377.840723,,0.0,
136704,1745177377.8407404,,,0.0
137216,1745177394.9177334,0.0,,
137216,1745177394.917749,,0.0,
137216,1745177394.917765,,,0.0
137728,1745177412.0852945,0.0,,
137728,1745177412.0853107,,1.0,
137728,1745177412.0853262,,,0.0
139264,1745177464.3950648,0.0,,
139264,1745177464.3951924,,1.0,
139264,1745177464.3952231,,,0.0
140288,1745177498.4942927,0.0,,
140288,1745177498.4943082,,0.0,
140288,1745177498.4943242,,,0.0
140800,1745177515.532327,0.0,,
140800,1745177515.5323424,,1.0,
140800,1745177515.5323594,,,0.0
141312,1745177532.6353564,0.0,,
141312,1745177532.6353729,,0.0,
141312,1745177532.6353884,,,0.0
143360,1745177608.9091637,0.0,,
143360,1745177608.9091802,,1.0,
143360,1745177608.9091969,,,0.0
144896,1745177669.252959,0.0,,
144896,1745177669.252974,,0.0,
144896,1745177669.2529898,,,0.0
145920,1745177708.6553593,0.0,,
145920,1745177708.655375,,1.0,
145920,1745177708.655391,,,0.0
146432,1745177728.935625,0.0,,
146432,1745177728.935644,,1.0,
146432,1745177728.935662,,,0.0
148480,1745177808.156977,1.0,,
148480,1745177808.156993,,1.0,
148480,1745177808.1570091,,,1.0
148992,1745177829.016233,0.0,,
148992,1745177829.016254,,1.0,
148992,1745177829.016271,,,0.0
149504,1745177849.2287927,0.0,,
149504,1745177849.228808,,0.0,
149504,1745177849.2288246,,,0.0
150016,1745177869.2492323,0.0,,
150016,1745177869.2492504,,1.0,
150016,1745177869.249266,,,0.0
150528,1745177889.2568717,0.0,,
150528,1745177889.2568884,,1.0,
150528,1745177889.256905,,,0.0
151552,1745177934.0303695,0.0,,
151552,1745177934.0303943,,0.0,
151552,1745177934.030419,,,0.0
152064,1745177956.2447426,0.0,,
152064,1745177956.244759,,0.0,
152064,1745177956.2447746,,,0.0
152576,1745177979.367434,0.0,,
152576,1745177979.3674557,,0.0,
152576,1745177979.3674788,,,0.0
153088,1745178003.3333843,0.0,,
153088,1745178003.3334062,,1.0,
153088,1745178003.3334215,,,0.0
154112,1745178049.4580007,0.0,,
154112,1745178049.4580173,,0.0,
154112,1745178049.4580328,,,0.0
154624,1745178073.10727,1.0,,
154624,1745178073.1072948,,1.0,
154624,1745178073.1073186,,,1.0
155136,1745178098.0133173,0.0,,
155136,1745178098.0133379,,0.0,
155136,1745178098.0133586,,,0.0
155648,1745178121.8658824,0.0,,
155648,1745178121.8658988,,0.0,
155648,1745178121.8659146,,,0.0
156160,1745178145.1823897,0.0,,
156160,1745178145.1824138,,0.0,
156160,1745178145.182438,,,0.0
156672,1745178167.9732754,0.0,,
156672,1745178167.973301,,0.0,
156672,1745178167.9733253,,,0.0
158208,1745178237.429668,0.0,,
158208,1745178237.4297082,,1.0,
158208,1745178237.4297369,,,0.0
158720,1745178260.599761,0.0,,
158720,1745178260.5997775,,1.0,
